id,adunit_name,asset_name,adunit_id,status,integration_type,publisher,network,media_type,venue_type,venue_name,city,postal_code,county,state,dma,country,latitude,longitude,address,cpm,currency,four_week_impressions,impression_multiplier,bidstream_impressions,bidstream_inferred_impressions,screen_count,min_duration,max_duration,supports_video,supports_banner,supports_audio,supports_dynamic_creative,slot_dimensions,preferred_ad_format,ad_formats,restrictions,languages,open_ooh_venue_category_id,asset_image_url
582453176,466703187,DA.MBC-LED Player 1,47a581af-9fd0-4891-8701-49539dab0590,live,API,Big Outdoor,Big Outdoor,Spectacular,Outdoor|Billboards|Spectacular,Mockingbird Station,DALLAS,75206,Dallas County - TX,TX,"Dallas-Ft. Worth, TX",USA,32.837738,-96.776774,"5307 Mockingbird Lane, Dallas, TX 75205",13.0000,USD,141807,1.406815476,266098,32299,1,15,15,true,true,false,true,1920x1080,1920x1080,1920x1080,,,30103,https://bigoutdoor.box.com/s/va63rjinubu81dk59qfci8143ofeg1pa
582453269,1234865099,NASH.D100 - Display A,4f6e677e-30cb-4fdf-bfe1-07d8f24035c2,live,API,Big Outdoor,Big Outdoor,Spectacular,Outdoor|Billboards|Spectacular,Music City,NASHVILLE,37203,Davidson County - TN,TN,"Nashville, TN",USA,36.160600,-86.778900,"510 Broadway, Nashville, TN 37203",13.0000,USD,1660680,1,1979455,78661,1,15,15,true,true,false,true,480x960,480x960,480x960,,,30103,https://bigoutdoor.box.com/s/c0dob5g20a27i37aziw1syp4jpq74s9s
582453830,1079149687,LA.D113 Balcony-D1 - SMP,7f11f674-c7d9-482d-9a82-afb2a5918638,live,API,Big Outdoor,Big Outdoor,Spectacular,Outdoor|Billboards|Spectacular,Santa Monic Place,SANTA MONICA,90401,Los Angeles County - CA,CA,"Los Angeles, CA",USA,34.014180,-118.493590,"395 Santa Monica Place, Santa Monic, CA 90401",13.0000,USD,155623,1.543878968,910959,71364,1,15,15,true,true,false,true,1920x1080,1920x1080,1920x1080,,,30103,https://bigoutdoor.box.com/s/csddesvdhzzesdsfy8kaclcwqu2ggb7d
582453865,1234873766,NASH.D100 - Display B,81b1ffce-9272-43ae-a4d9-4750d9ea1c49,live,API,Big Outdoor,Big Outdoor,Spectacular,Outdoor|Billboards|Spectacular,Music City,NASHVILLE,37203,Davidson County - TN,TN,"Nashville, TN",USA,36.160800,-86.778800,"510 Broadway, Nashville, TN 37203",13.0000,USD,1660680,1,2802918,85288,1,15,15,true,true,false,true,384x832,384x832,384x832,,,30103,https://bigoutdoor.box.com/s/c0dob5g20a27i37aziw1syp4jpq74s9s
615436805,SF-DG-501,SF-DG-501,8b0dab16-c540-483c-a73d-a0453b9fa80c,live,API,Orange Barrel Media,Orange Barrel Media,Spectacular,Outdoor|Billboards|Spectacular,SF-DG-501,SAN JOSE,95110,Santa Clara County - CA,CA,"San Francisco-Oakland-San Jose, CA",USA,37.329552,-121.891812,San Jose Center for Performing Arts | South Almaden Blvd / W San Carlos Blvd,25.0000,USD,18475081,53.457989,745616,74743,1,15,15,false,true,false,true,2250x540,2250x540,2250x540,,,30103,""
615437049,SF-DG-500,SF-DG-500,cba31c95-babe-401a-a903-8d6f1a87d97d,live,API,Orange Barrel Media,Orange Barrel Media,Spectacular,Outdoor|Billboards|Spectacular,SF-DG-500,SAN JOSE,95110,Santa Clara County - CA,CA,"San Francisco-Oakland-San Jose, CA",USA,37.330514,-121.892622,San Jose Center for Performing Arts | South Almaden Blvd / Park Ave,25.0000,USD,5064632,14.65460648,378343,25343,1,15,15,false,true,false,true,2250x540,2250x540,2250x540,,,30103,""
615437181,LA-DG-509,LA-DG-509,eff06db8-39e3-4d0a-bbd8-e39104209fed,live,API,Orange Barrel Media,Orange Barrel Media,Spectacular,Outdoor|Billboards|Spectacular,LA-DG-509,WEST HOLLYWOOD,90069,Los Angeles County - CA,CA,"Los Angeles, CA",USA,34.090774,-118.388189,9015 Sunset Blvd | Rainbow/Roxy,75.0000,USD,3637433,10.52497975,451491,40911,1,15,15,true,true,false,true,608x1536,608x1536,608x1536,"Bicycling,Bodybuilding,Boxing,Dining Out,Government,Illegal Content,Law,Politics,& Politics,Pornography",,30103,""
666262014,1709,1709,3f20adeb-818e-4bec-8c14-c810e92e4654,live,API,New Tradition,New Tradition,,Outdoor|Billboards|Spectacular,"",DETROIT,48226,Wayne County - MI,MI,"Detroit, MI",USA,42.333312,-83.043928,"",10.0000,USD,625852,26,27272986,3528460,1,10,10,false,true,false,true,660x1360,660x1360,660x1360,,,30103,https://www.dropbox.com/scl/fo/sf3pkelq8e2fwvt2nuib6/AHvAfPkHPuE09vzkizPUGnk?rlkey=7v0qjvaxtvhz3hysypcnc67r1&dl=0
668174395,SF-DG-502,SF-DG-502,724b9567-7c6b-4e64-b780-e259c81de799,live,API,Orange Barrel Media,Orange Barrel Media,Spectacular,Outdoor|Billboards|Spectacular,SF-DG-502,SAN JOSE,95113,Santa Clara County - CA,CA,"San Francisco-Oakland-San Jose, CA",USA,37.332223,-121.886004,2nd & San Carlos Garage,25.0000,USD,1500491,4.3416985,127435,62758,1,15,15,false,true,false,true,855x1350,855x1350,855x1350,,,30103,""
700427883,1322590497,DA.D400 - P,bca15869-7d7c-4c7c-b49d-1ae0c21fa2e7,live,API,Big Outdoor,Big Outdoor,Spectacular,Outdoor|Billboards|Spectacular,Park Lane,DALLAS,75231,Dallas County - TX,TX,"Dallas-Ft. Worth, TX",USA,32.869730,-96.768910,"8080 Park Ln, Dallas, TX 75231",13.0000,USD,,25,60398,24659,1,15,15,true,true,false,true,3000x750,3000x750,3000x750,,,30103,https://bigoutdoor.box.com/s/30lyajar3fz2nf9tfwwxoyoxqvxu4x85
